destinationStopName,destinationStopCategory,stage,observationDateTime,travelDistance,originStopName,fareForChild,fareForAdult,id,originDestinationCode,originStopCategory
RAILWAY STATION TERMINAL,TERMINAL,0,2020-12-23T08:30:12+05:30,0.0,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 10,TERMINAL
BALAJI MANDIR,CBS,1,2020-12-23T08:30:12+05:30,0.30193,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1148,TERMINAL
DELHI GATE,CBS,1,2020-12-23T08:30:12+05:30,0.37164,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1144,TERMINAL
LINEAR BUS STOP,HMC Cabin,1,2020-12-23T08:30:12+05:30,0.3736,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1001,TERMINAL
LAMBE HANUMAN TEMPLE,CBS,1,2020-12-23T08:30:12+05:30,0.44215,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2301,TERMINAL
RAILWAY PARCEL OFFICE,CBS,1,2020-12-23T08:30:12+05:30,0.57082,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2263,TERMINAL
ASHWANIKUMAR ROAD,CBS,1,2020-12-23T08:30:12+05:30,0.57294,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2322,TERMINAL
GALEMANDIR CHOWK,CBS,1,2020-12-23T08:30:12+05:30,0.58381,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1147,TERMINAL
"S.M.C. VARACHHA HEALTH CENTRE, PODAR ARCADE BRTS",BRT,1,2020-12-23T08:30:12+05:30,0.64518,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2082,TERMINAL
LAL DARWAJA,CBS,1,2020-12-23T08:30:12+05:30,0.67471,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1152,TERMINAL
J.B. DIAMOND,CBS,1,2020-12-23T08:30:12+05:30,0.71653,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 2302,TERMINAL
MOTI TALKIES,CBS,1,2020-12-23T08:30:12+05:30,0.76082,RAILWAY STATION TERMINAL,2.0,4.0,f29c31d4-87ba-49c1-8643-b3c4be33743c,10 - 1143,TERMINAL
